Season ,Regulation change,Change influence,Change difference,competition increase
1950,"Engine specs set at 1500 cc maximum size for engines with a compressor (supercharger or turbocharger) or 4500 cc for naturally aspirated engines. No weight limit.[10] Note that in 1952 and 1953, the World Drivers' Championship was run to Formula Two regulations (maximum capacity of 750 cc for engines with a compressor or 2000 cc for naturally aspirated engines), but the Formula One regulations remained unchanged, and numerous non-championship Formula One races were held during this period. Also for 1952, crash helmets were made compulsory; but these helmets were made with dubious materials and looked like medium-sized dinner bowls.",100,100,100
1951,,,,
1952,,,,
1953,,,,
1954,Engine specs amended to allow 750 cc maximum engine size with a compressor or 2500 cc for a naturally aspirated engine. No weight limit.[10],,,
1955,,,,
1956,,,,
1957,,,,
1958,The use of commercial petrol became compulsory and alcohol-based racing fuels were banned,,,
1959,,,,
1960,Regulations unchanged from 1959 (maximum engine capacity of 750 cc for a compressed engine or 2500 cc for naturally aspirated engines. No weight restrictions),,,
1961,"Engine specs amended to a naturally aspirated engine of between 1300 cc and 1500 cc, no compressors allowed, minimum weight set at 450 kg, open wheels mandated,[16] pump fuel only, automatic starter, roll bar required, double braking system mandatory, standardised seatbelt anchorage, fire protection for fuel tanks, fillers and breathers, FIA begin to organise safety inspections (previously done by local authorities), protective helmet and overalls obligatory, flag signalling code established.",,,
1962,,,,
1963,,,,
1964,,,,
1965,,,,
1966,"Engine specs amended to a 1500 cc engine with a compressor or a 3000 cc naturally aspirated engine allowed, minimum weight set at 500 kg, electrical circuit breaker, reverse gear, oil catch tank, a rollbar 5 cm above driver's head, two-part extinguisher system and cockpit designed for quick evacuation all made mandatory, all aerodynamic features must be immobile (thereby banning air brakes) and fixed to a sprung part of the car, maximum bodywork height and width restrictions ban the use of dangerous high wings, recommendations made on seat harnesses, fire-resistant clothing and shatterproof visors.[14] Straw bales were banned from being used as safety barriers in response to Lorenzo Bandini's fatal accident in Monaco in 1967.",,,
1967,,,,
1968,,,,
1969,,,,
1970,"Minimum weight set at 530 kg, safety bladder fuel cell tanks introduced, report published on track standards, recommended straw bales be banned, double guard rails in place, 3-metre grass verges, spectators to be kept a minimum of 3 metres behind guard railings, barrier between pit lane and track as well as track width, surface and gradient recommendations and mandatory FIA inspections of track facilities.",,,
1971,"Role responsibilities and mandatory equipment list set out for race supervisors, marshals, and signalers. Drivers must be evacuated from cockpit in less than five seconds. All race distances must be under 200 miles (320 km).",,,
1972,"Minimum weight increased to 550 kg, safety foam in fuel tanks, no magnesium sheeting to be less than 3 mm thick, 15w red rear light mandatory, head rest required, minimum cockpit dimensions, combined electrical cut off and extinguisher external handle required, fuel tanks to meet FIA specifications, six-point harness required, circuit safety criteria set down, driver's code of conduct released",,,
1973,"Numbers now assigned to drivers. The #1 number is assigned to the reigning World Champion. Minimum weight increased to 575 kg, crushable structure around fuel tanks mandatory, no chrome plating of suspension parts allowed (to avoid hydrogen embrittlement),[21] drivers required to carry medical card and submit to medical examination before they are able to race, catch fencing and rescue equipment mandatory at races, starting grid dimensions standardised, fire service regulations established.",,,
1974,,,,
1975,,,,
1976,"Airboxes on the top of cars are banned, and the cooling of engines through similar means is heavily limited.  Safety structures  around dashboard and pedals implemented. After Niki Lauda's near-fatal accident at a nearly inaccessible point at the treacherous 14.2 mi (22.8 km) Nürburgring in West Germany, the circuit was taken off the 1977 calendar after having been on the calendar for all but 4 seasons of Formula One up to 1976.[",,,
1977,,,,
1978,"Brabham's BT46B 'fan car' deemed illegal and banned[22] after its first (and only) appearance of the season where it won at the Swedish Grand Prix,[23] bulkhead behind driver and front roll bar defined, licence qualification criteria set for all drivers, all grid slots allocated 14 metres per car.[15] Following a request from Lotus, a single centrally mounted fuel tank between the driver and engine is permitted. Previously, no more than 80 litres of fuel in a single tank is allowed, meaning most cars required 3 separate fuel tanks, usually 2 bag tanks either side of the driver's cockpit and another fuel tank behind him. However, this requires multiply fuel lines for the various tanks, and it is the shearing of the fuel lines in impacts that causes the fires of Jo Siffert, Roger Williamson and Niki Lauda. Therefore, the central single fuel tank pioneered by Lotus becomes accepted as a safer option to stop fuel lines from side impacts being sheared and igniting.",,,
1979,,,,
1980,,,,
1981," Flexible side skirts banned to reduce downforce created by ground effect, mandatory ground clearance of 6 cm required to limit ground effect further, Lotus twin chassis type 88 outlawed,[27] pit lane minimum width set at 10 metres, survival cell extending to the front of the driver's feet introduced to improve driver survivability in the event of an accident, minimum weight of car set at 585 kg.[",,,
1982,"Rotary engines, diesel engines, gas turbine engines and sarich orbital engines all banned as part of the Concorde Agreement,[28] rigid skirts legalised and ride height restrictions removed as FIA admit that policing a ban is not possible whilst many teams are using hydraulic suspension systems to alter ride heights and circumvent the rules,[29] minimum weight of car set at 580 kg.",,,
1983,,,,
1984,"In race refuelling outlawed, fuel tank required to be in centre of car, between driver and engine, maximum fuel capacity allowed on cars set at 220 litres per race to try and reduce the output of turbo engines, drivers required to have FIA super licence before they can compete in F1, concrete retaining walls permitted alongside guard rails",,,
1985,,,,
1986,,,,
1987,"Boost pressure capped at 4.0 bars to limit turbo power, minimum weight of cars set at 500 kg. Naturally aspirated engines are permitted again, with a maximum capacity of 3500 cc and no fuel limit. Grid slots allocated 16 metres per car.[26] FIA announce that from 1989 onwards turbos will be banned and to encourage teams to switch, two additional championships are introduced, which are open to non-turbo teams only: the Jim Clark Cup for drivers, and the Colin Chapman Trophy for constructors. These one-off championships are won by Jonathan Palmer and by Tyrrell-Ford respectively.",,,
1988,,,,
1989,"Turbocharged engines banned completely,[25] naturally aspirated engines of 3500 cc in size and 8 to 12 cylinders the only engines permitted, overhead air intakes allowed again, fuel restrictions removed, all track side guard rails must be a minimum of 1 metre in height and the pit wall must be a minimum of 1 m 35 cm in height, all drivers subject to anti doping testing as per IOC guidelines.[",,,
1990,,,,
1991,,,,
1992,,,,
1993,,,,
1994,"Ban on electronic driver aids such as active suspension,[32] traction control,[34] launch control, ABS, and (without ever appearing in a race) four-wheel steering[42] at the beginning of the season, mid race refuelling allowed for the first time since 1983,[43] pit crews now required to wear fireproof racing suits in conjunction with return of refuelling,[44] post-Imola sweeping changes introduced to slow cars down, starting from the Monaco race onwards, a pit lane speed limit is put in place; between the Spanish Grand Prix and the German Grand Prix, additional changes are phased in and include a reduction in the height of the rear wing of 10 cm, an increase in the height of the front wing, no front wing trailing assemblies to extend behind front wheel, a 10 mm wooden plank fitted to the under tray (permitted to be worn by no more than 1 mm by the race end), a ban on high rear wing assemblies extending ahead of the rear axle line to sidestep the wing height restrictions, depressurising the engine airbox to reduce power, minimum headrest thickness 75 mm (3.0 in) introduced, more stringent fire extinguisher regulations and driver helmet criteria implemented, a pit lane speed restriction of 80 km/h (50 mph) in practice and 120 km/h (75 mph) in race conditions introduced, also the parade lap was to be completed behind safety car (abandoned from Imola onwards), pit spectator area to be fire shielded, 27 corners identified as very high risk and as a result changes to circuit layouts implemented to remove or modify these parts of the track. After Imola, pit lane speed limit is implemented.",,,
1995,,,,
1996,,,,
1997,,,,
1998,,,,
1999,"Number of grooves on front tyres increased from three to four, flexible wings banned,[47][48] pit lane shielding standardised, some run off areas to have asphalt instead of sand traps, at least four medical intervention cars and an FIA doctor car required, ADR required to be in operation during testing, wheels must be tethered to car to reduce the risk of launched components during an accident, rear and lateral headrest assembly made one piece and quick release, engine oil breathers must vent into engine air intake, extractable driver's seat mandatory, frontal impact test speed increased to 13 m/s",,,
2000,"Engines mandated to be V10 displacing no more than 3000cc,[54] red flag procedure changed where races stopped after two laps but before three-quarters race distance had been completed would be restarted with the cars lining up on the grid in the order they were at the end of the penultimate lap before the lap during which the red flag was shown (only the race order and number of laps completed were taken into account for the new race, time differences between the cars were voided; the distance of the new race was the number of laps remaining from the original races, minus three laps);[55] use of cooled fuel banned mid-season",,,
2001,,,,
2002,,,,
2003,,,,
2004,,,,
2005,"Rear diffuser size reduced to limit downforce, all engines now required to last two race weekends, qualifying format changed to two aggregate times from Saturday afternoon and Sunday morning to count towards grid positions (this format lasted until the European GP when qualifying reverted to a driver's fastest single lap to count from Saturday afternoon qualifying), further changes to dimensions of front and rear wings and nose of car to make overtaking easier, restriction on tyre changes during qualifying and the race itself, if a driver stalls on the grid after the parade lap the other cars will now complete a second lap whilst the stalled vehicle is removed, in the event of a red flag the two-hour race clock will no longer freeze between race sessions.",,,
2006,,,,
